Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.11,401.13
2017,405.75,407.75,403.75
2018,408.59,410.58,406.59
2019,411.4,413.41,409.4
2020,414.21,416.22,412.21
2021,417.01,418.95,415.08
2022,419.7,421.56,417.84
2023,422.17,423.95,420.39
2024,424.44,426.15,422.74
2025,426.52,428.15,424.9
2026,428.43,429.98,426.88
2027,430.15,431.62,428.68
2028,431.71,433.1,430.31
2029,433.1,434.41,431.78
2030,434.32,435.56,433.08
2031,435.39,436.56,434.23
2032,436.34,437.43,435.25
2033,437.18,438.2,436.16
2034,437.92,438.86,436.97
2035,438.55,439.42,437.68
2036,439.08,439.88,438.29
2037,439.51,440.24,438.79
2038,439.84,440.49,439.19
2039,440.06,440.63,439.48
2040,440.18,440.69,439.67
2041,440.2,440.66,439.73
2042,440.14,440.57,439.71
2043,440.03,440.43,439.63
2044,439.86,440.22,439.5
2045,439.63,439.96,439.31
2046,439.35,439.65,439.06
2047,439.01,439.27,438.75
2048,438.61,438.84,438.38
2049,438.15,438.34,437.96
2050,437.63,437.79,437.47
2051,437.05,437.2,436.91
2052,436.45,436.57,436.32
2053,435.84,435.95,435.73
2054,435.22,435.31,435.13
2055,434.6,434.68,434.52
2056,433.96,434.03,433.9
2057,433.32,433.37,433.27
2058,432.67,432.7,432.63
2059,432,432.01,431.98
2060,431.31,431.31,431.32
2061,430.62,430.6,430.63
2062,429.91,429.88,429.94
2063,429.19,429.14,429.24
2064,428.46,428.4,428.52
2065,427.73,427.65,427.8
2066,426.98,426.89,427.07
2067,426.22,426.12,426.32
2068,425.45,425.34,425.57
2069,424.67,424.54,424.8
2070,423.88,423.73,424.02
2071,423.07,422.91,423.23
2072,422.25,422.08,422.43
2073,421.43,421.24,421.61
2074,420.58,420.38,420.79
2075,419.73,419.52,419.95
2076,418.87,418.64,419.1
2077,417.99,417.75,418.23
2078,417.1,416.84,417.36
2079,416.2,415.93,416.47
2080,415.29,415,415.57
2081,414.36,414.06,414.67
2082,413.42,413.1,413.74
2083,412.46,412.12,412.8
2084,411.48,411.13,411.84
2085,410.49,410.12,410.86
2086,409.48,409.09,409.87
2087,408.45,408.04,408.86
2088,407.4,406.98,407.83
2089,406.34,405.89,406.78
2090,405.26,404.8,405.71
2091,404.16,403.68,404.63
2092,403.04,402.55,403.54
2093,401.91,401.4,402.42
2094,400.76,400.23,401.29
2095,399.59,399.04,400.14
2096,398.41,397.84,398.97
2097,397.21,396.62,397.79
2098,395.99,395.39,396.59
2099,394.76,394.14,395.37
2100,393.51,392.87,394.14
2101,392.24,391.61,392.88
2102,390.98,390.35,391.62
2103,389.76,389.12,390.39
2104,388.55,387.92,389.19
2105,387.37,386.74,388.01
2106,386.22,385.58,386.85
2107,385.08,384.45,385.71
2108,383.96,383.33,384.6
2109,382.87,382.23,383.5
2110,381.79,381.15,382.42
2111,380.73,380.09,381.36
2112,379.68,379.04,380.31
2113,378.65,378.01,379.28
2114,377.63,377,378.27
2115,376.63,376,377.27
2116,375.64,375.01,376.28
2117,374.67,374.03,375.3
2118,373.71,373.07,374.34
2119,372.76,372.12,373.39
2120,371.82,371.19,372.46
2121,370.9,370.26,371.53
2122,369.98,369.35,370.62
2123,369.08,368.45,369.71
2124,368.19,367.55,368.82
2125,367.31,366.67,367.94
2126,366.43,365.8,367.07
2127,365.57,364.94,366.21
2128,364.72,364.09,365.36
2129,363.88,363.24,364.51
2130,363.05,362.41,363.68
2131,362.22,361.59,362.86
2132,361.41,360.77,362.04
2133,360.6,359.96,361.23
2134,359.8,359.17,360.44
2135,359.01,358.38,359.64
2136,358.23,357.59,358.86
2137,357.45,356.82,358.09
2138,356.69,356.05,357.32
2139,355.93,355.29,356.56
2140,355.18,354.54,355.81
2141,354.43,353.81,355.05
2142,353.71,353.1,354.32
2143,353.02,352.42,353.62
2144,352.36,351.78,352.95
2145,351.74,351.16,352.31
2146,351.14,350.58,351.69
2147,350.56,350.02,351.11
2148,350.02,349.49,350.55
2149,349.5,348.98,350.02
2150,349.01,348.5,349.51
2151,348.53,348.04,349.03
2152,348.08,347.6,348.57
2153,347.65,347.18,348.12
2154,347.23,346.78,347.69
2155,346.84,346.39,347.28
2156,346.45,346.02,346.88
2157,346.09,345.67,346.51
2158,345.74,345.33,346.15
2159,345.41,345.02,345.8
2160,345.09,344.71,345.47
2161,344.8,344.43,345.16
2162,344.51,344.16,344.87
2163,344.25,343.9,344.59
2164,343.99,343.66,344.32
2165,343.76,343.44,344.08
2166,343.54,343.23,343.84
2167,343.33,343.04,343.62
2168,343.14,342.86,343.42
2169,342.97,342.7,343.23
2170,342.8,342.55,343.06
2171,342.66,342.42,342.9
2172,342.53,342.3,342.76
2173,342.41,342.19,342.63
2174,342.31,342.1,342.51
2175,342.22,342.03,342.41
2176,342.14,341.97,342.32
2177,342.08,341.92,342.25
2178,342.04,341.88,342.19
2179,342,341.86,342.14
2180,341.98,341.86,342.11
2181,341.98,341.86,342.09
2182,341.99,341.88,342.09
2183,342.01,341.92,342.1
2184,342.04,341.96,342.12
2185,342.09,342.03,342.15
2186,342.15,342.1,342.2
2187,342.23,342.19,342.26
2188,342.31,342.29,342.34
2189,342.41,342.4,342.43
2190,342.53,342.53,342.53
2191,342.65,342.65,342.65
2192,342.78,342.78,342.78
2193,342.89,342.89,342.89
2194,342.99,342.99,342.99
2195,343.08,343.08,343.08
2196,343.16,343.16,343.16
2197,343.23,343.23,343.23
2198,343.3,343.3,343.3
2199,343.36,343.36,343.35
2200,343.41,343.41,343.41
2201,343.45,343.45,343.45
2202,343.49,343.5,343.49
2203,343.53,343.53,343.53
2204,343.57,343.57,343.56
2205,343.59,343.59,343.59
2206,343.62,343.62,343.62
2207,343.64,343.64,343.64
2208,343.66,343.66,343.66
2209,343.68,343.68,343.68
2210,343.69,343.69,343.69
2211,343.7,343.7,343.7
2212,343.71,343.71,343.71
2213,343.72,343.72,343.72
2214,343.72,343.72,343.72
2215,343.72,343.72,343.72
2216,343.73,343.73,343.72
2217,343.73,343.73,343.72
2218,343.72,343.72,343.72
2219,343.72,343.72,343.72
2220,343.72,343.72,343.72
2221,343.71,343.71,343.71
2222,343.7,343.71,343.7
2223,343.7,343.7,343.7
2224,343.69,343.69,343.69
2225,343.68,343.68,343.68
2226,343.67,343.67,343.67
2227,343.66,343.66,343.66
2228,343.65,343.65,343.65
2229,343.64,343.64,343.64
2230,343.63,343.63,343.63
2231,343.62,343.62,343.62
2232,343.61,343.61,343.61
2233,343.59,343.59,343.59
2234,343.58,343.58,343.58
2235,343.57,343.57,343.57
2236,343.55,343.55,343.55
2237,343.54,343.54,343.54
2238,343.52,343.52,343.52
2239,343.51,343.51,343.5
2240,343.49,343.49,343.49
2241,343.47,343.47,343.47
2242,343.46,343.46,343.46
2243,343.44,343.44,343.44
2244,343.42,343.42,343.42
2245,343.4,343.4,343.4
2246,343.39,343.39,343.39
2247,343.37,343.37,343.37
2248,343.35,343.35,343.35
2249,343.33,343.33,343.33
2250,343.31,343.31,343.31
2251,343.29,343.29,343.29
2252,343.27,343.27,343.27
2253,343.25,343.25,343.25
2254,343.23,343.23,343.23
2255,343.21,343.21,343.21
2256,343.19,343.19,343.19
2257,343.17,343.17,343.17
2258,343.15,343.15,343.15
2259,343.12,343.12,343.12
2260,343.1,343.1,343.1
2261,343.08,343.08,343.08
2262,343.05,343.05,343.05
2263,343.03,343.03,343.03
2264,343,343,343
2265,342.98,342.98,342.97
2266,342.95,342.95,342.95
2267,342.92,342.92,342.92
2268,342.9,342.9,342.9
2269,342.87,342.87,342.87
2270,342.84,342.84,342.84
2271,342.82,342.82,342.82
2272,342.79,342.79,342.79
2273,342.76,342.76,342.76
2274,342.74,342.74,342.74
2275,342.71,342.71,342.71
2276,342.68,342.68,342.68
2277,342.65,342.65,342.65
2278,342.63,342.63,342.63
2279,342.6,342.6,342.6
2280,342.57,342.57,342.57
2281,342.54,342.54,342.54
2282,342.52,342.52,342.51
2283,342.49,342.49,342.49
2284,342.46,342.46,342.46
2285,342.43,342.43,342.43
2286,342.4,342.4,342.4
2287,342.38,342.38,342.37
2288,342.35,342.35,342.35
2289,342.32,342.32,342.32
2290,342.29,342.29,342.29
2291,342.26,342.26,342.26
2292,342.24,342.24,342.24
2293,342.21,342.21,342.21
2294,342.18,342.18,342.18
2295,342.15,342.15,342.15
2296,342.12,342.12,342.12
2297,342.1,342.1,342.09
2298,342.07,342.07,342.07
2299,342.04,342.04,342.04
2300,342.01,342.01,342.01
2301,341.98,341.98,341.98
2302,341.95,341.96,341.95
2303,341.93,341.93,341.93
2304,341.9,341.9,341.9
2305,341.87,341.87,341.87
2306,341.84,341.84,341.84
2307,341.82,341.82,341.81
2308,341.79,341.79,341.79
2309,341.76,341.76,341.76
2310,341.73,341.73,341.73
2311,341.7,341.7,341.7
2312,341.67,341.68,341.67
2313,341.65,341.65,341.65
2314,341.62,341.62,341.62
2315,341.59,341.59,341.59
2316,341.56,341.56,341.56
2317,341.54,341.54,341.53
2318,341.51,341.51,341.51
2319,341.48,341.48,341.48
2320,341.45,341.45,341.45
2321,341.42,341.42,341.42
2322,341.39,341.39,341.39
2323,341.37,341.37,341.37
2324,341.34,341.34,341.34
2325,341.31,341.31,341.31
2326,341.28,341.28,341.28
2327,341.25,341.25,341.25
2328,341.23,341.23,341.23
2329,341.2,341.2,341.2
2330,341.17,341.17,341.17
2331,341.14,341.14,341.14
2332,341.11,341.11,341.11
2333,341.08,341.08,341.08
2334,341.06,341.06,341.06
2335,341.03,341.03,341.03
2336,341,341,341
2337,340.97,340.97,340.97
2338,340.94,340.94,340.94
2339,340.91,340.91,340.91
2340,340.89,340.89,340.89
2341,340.86,340.86,340.86
2342,340.83,340.83,340.83
2343,340.8,340.8,340.8
2344,340.77,340.77,340.77
2345,340.74,340.74,340.74
2346,340.71,340.71,340.71
2347,340.68,340.69,340.68
2348,340.66,340.66,340.66
2349,340.63,340.63,340.63
2350,340.6,340.6,340.6
2351,340.57,340.57,340.57
2352,340.54,340.54,340.54
2353,340.51,340.51,340.51
2354,340.48,340.48,340.48
2355,340.45,340.45,340.45
2356,340.42,340.42,340.42
2357,340.39,340.39,340.39
2358,340.36,340.37,340.36
2359,340.34,340.34,340.34
2360,340.31,340.31,340.31
2361,340.28,340.28,340.28
2362,340.25,340.25,340.25
2363,340.22,340.22,340.22
2364,340.19,340.19,340.19
2365,340.17,340.17,340.16
2366,340.14,340.14,340.14
2367,340.11,340.11,340.11
2368,340.08,340.08,340.08
2369,340.05,340.05,340.05
2370,340.02,340.03,340.02
2371,340,340,340
2372,339.97,339.97,339.97
2373,339.94,339.94,339.94
2374,339.91,339.91,339.91
2375,339.89,339.89,339.89
2376,339.86,339.86,339.86
2377,339.83,339.83,339.83
2378,339.8,339.8,339.8
2379,339.78,339.78,339.78
2380,339.75,339.75,339.75
2381,339.72,339.72,339.72
2382,339.7,339.7,339.7
2383,339.67,339.67,339.67
2384,339.64,339.64,339.64
2385,339.61,339.62,339.61
2386,339.59,339.59,339.59
2387,339.56,339.56,339.56
2388,339.54,339.54,339.53
2389,339.51,339.51,339.51
2390,339.48,339.48,339.48
2391,339.45,339.46,339.45
2392,339.43,339.43,339.43
2393,339.4,339.4,339.4
2394,339.38,339.38,339.38
2395,339.35,339.35,339.35
2396,339.32,339.32,339.32
2397,339.3,339.3,339.3
2398,339.27,339.27,339.27
2399,339.24,339.25,339.24
2400,339.22,339.22,339.22
2401,339.19,339.19,339.19
2402,339.17,339.17,339.17
2403,339.14,339.14,339.14
2404,339.12,339.12,339.12
2405,339.09,339.09,339.09
2406,339.06,339.06,339.06
2407,339.04,339.04,339.04
2408,339.01,339.01,339.01
2409,338.99,338.99,338.99
2410,338.96,338.96,338.96
2411,338.94,338.94,338.94
2412,338.91,338.91,338.91
2413,338.89,338.89,338.89
2414,338.86,338.86,338.86
2415,338.83,338.84,338.83
2416,338.81,338.81,338.81
2417,338.79,338.79,338.78
2418,338.76,338.76,338.76
2419,338.73,338.74,338.73
2420,338.71,338.71,338.71
2421,338.68,338.69,338.68
2422,338.66,338.66,338.66
2423,338.64,338.64,338.64
2424,338.61,338.61,338.61
2425,338.59,338.59,338.59
2426,338.56,338.56,338.56
2427,338.54,338.54,338.54
2428,338.51,338.51,338.51
2429,338.49,338.49,338.49
2430,338.46,338.46,338.46
2431,338.44,338.44,338.44
2432,338.41,338.41,338.41
2433,338.39,338.39,338.39
2434,338.37,338.37,338.37
2435,338.34,338.34,338.34
2436,338.32,338.32,338.32
2437,338.29,338.29,338.29
2438,338.27,338.27,338.27
2439,338.24,338.25,338.24
2440,338.22,338.22,338.22
2441,338.2,338.2,338.2
2442,338.17,338.17,338.17
2443,338.15,338.15,338.15
2444,338.13,338.13,338.12
2445,338.1,338.1,338.1
2446,338.08,338.08,338.08
2447,338.05,338.05,338.05
2448,338.03,338.03,338.03
2449,338.01,338.01,338.01
2450,337.98,337.98,337.98
2451,337.96,337.96,337.96
2452,337.93,337.94,337.93
2453,337.91,337.91,337.91
2454,337.89,337.89,337.89
2455,337.86,337.87,337.86
2456,337.84,337.84,337.84
2457,337.82,337.82,337.82
2458,337.8,337.8,337.79
2459,337.77,337.77,337.77
2460,337.75,337.75,337.75
2461,337.73,337.73,337.72
2462,337.7,337.7,337.7
2463,337.68,337.68,337.68
2464,337.66,337.66,337.66
2465,337.63,337.63,337.63
2466,337.61,337.61,337.61
2467,337.59,337.59,337.59
2468,337.56,337.56,337.56
2469,337.54,337.54,337.54
2470,337.52,337.52,337.52
2471,337.5,337.5,337.5
2472,337.47,337.47,337.47
2473,337.45,337.45,337.45
2474,337.43,337.43,337.43
2475,337.4,337.41,337.4
2476,337.38,337.38,337.38
2477,337.36,337.36,337.36
2478,337.34,337.34,337.34
2479,337.32,337.32,337.31
2480,337.29,337.29,337.29
2481,337.27,337.27,337.27
2482,337.25,337.25,337.25
2483,337.23,337.23,337.23
2484,337.2,337.2,337.2
2485,337.18,337.18,337.18
2486,337.16,337.16,337.16
2487,337.14,337.14,337.14
2488,337.11,337.12,337.11
2489,337.09,337.09,337.09
2490,337.07,337.07,337.07
2491,337.05,337.05,337.05
2492,337.03,337.03,337.03
2493,337.01,337.01,337
2494,336.98,336.98,336.98
2495,336.96,336.96,336.96
2496,336.94,336.94,336.94
2497,336.92,336.92,336.92
2498,336.9,336.9,336.9
2499,336.87,336.87,336.87
2500,336.86,336.86,336.86
