Year,World,Northern Hemisphere,Southern Hemisphere
2015,399.95,401.68,398.22
2016,403.12,405.12,401.11
2017,405.81,407.9,403.72
2018,408.83,410.98,406.69
2019,411.95,414.15,409.75
2020,415.16,417.42,412.91
2021,418.48,420.78,416.17
2022,421.87,424.22,419.51
2023,425.32,427.72,422.92
2024,428.83,431.28,426.38
2025,432.41,434.9,429.91
2026,436.05,438.59,433.51
2027,439.75,442.34,437.16
2028,443.52,446.16,440.88
2029,447.35,450.04,444.67
2030,451.25,453.98,448.52
2031,455.21,457.97,452.44
2032,459.22,462.02,456.41
2033,463.26,466.1,460.43
2034,467.35,470.23,464.48
2035,471.48,474.39,468.57
2036,475.65,478.6,472.71
2037,479.87,482.85,476.89
2038,484.14,487.15,481.12
2039,488.45,491.5,485.4
2040,492.82,495.9,489.73
2041,497.23,500.34,494.12
2042,501.69,504.83,498.55
2043,506.18,509.35,503.02
2044,510.72,513.91,507.52
2045,515.29,518.51,512.07
2046,519.91,523.16,516.66
2047,524.57,527.85,521.3
2048,529.28,532.59,525.98
2049,534.04,537.37,530.71
2050,538.85,542.2,535.49
2051,543.71,547.09,540.33
2052,548.62,552.02,545.22
2053,553.58,557.01,550.16
2054,558.6,562.05,555.15
2055,563.67,567.14,560.2
2056,568.79,572.29,565.3
2057,573.97,577.49,570.45
2058,579.2,582.74,575.66
2059,584.49,588.06,580.93
2060,589.85,593.43,586.26
2061,595.26,598.87,591.65
2062,600.72,604.36,597.09
2063,606.25,609.91,602.6
2064,611.84,615.52,608.16
2065,617.49,621.19,613.78
2066,623.2,626.93,619.47
2067,628.97,632.72,625.22
2068,634.8,638.58,631.03
2069,640.7,644.5,636.9
2070,646.66,650.49,642.84
2071,652.69,656.54,648.84
2072,658.78,662.66,654.91
2073,664.94,668.84,661.05
2074,671.17,675.09,667.25
2075,677.46,681.4,673.51
2076,683.81,687.78,679.85
2077,690.24,694.23,686.25
2078,696.73,700.75,692.72
2079,703.3,707.34,699.26
2080,709.93,714,705.87
2081,716.64,720.73,712.55
2082,723.41,727.53,719.3
2083,730.26,734.4,726.12
2084,737.19,741.35,733.02
2085,744.19,748.38,740
2086,751.26,755.48,747.05
2087,758.41,762.65,754.17
2088,765.64,769.9,761.37
2089,772.94,777.23,768.65
2090,780.32,784.64,776.01
2091,787.78,792.12,783.44
2092,795.31,799.68,790.95
2093,802.94,807.33,798.54
2094,810.64,815.06,806.22
2095,818.43,822.88,813.98
2096,826.31,830.78,821.83
2097,834.26,838.77,829.76
2098,842.31,846.84,837.78
2099,850.44,855,845.88
2100,858.65,863.23,854.08
2101,866.95,871.51,862.4
2102,875.27,879.79,870.75
2103,883.54,888.03,879.05
2104,891.76,896.22,887.3
2105,899.93,904.37,895.5
2106,908.06,912.47,903.66
2107,916.15,920.52,911.78
2108,924.2,928.54,919.86
2109,932.2,936.51,927.9
2110,940.17,944.45,935.89
2111,948.09,952.34,943.84
2112,955.97,960.19,951.76
2113,963.82,968,959.63
2114,971.62,975.78,967.46
2115,979.38,983.51,975.26
2116,987.1,991.2,983.01
2117,994.78,998.84,990.71
2118,1002.42,1006.45,998.39
2119,1010.01,1014.01,1006.01
2120,1017.56,1021.53,1013.59
2121,1025.07,1029.01,1021.13
2122,1032.53,1036.44,1028.62
2123,1039.96,1043.84,1036.08
2124,1047.33,1051.18,1043.48
2125,1054.66,1058.48,1050.84
2126,1061.95,1065.74,1058.16
2127,1069.18,1072.94,1065.42
2128,1076.38,1080.11,1072.65
