obs,sim,site,species,var,dataset
5.397021029,6.880322252,1,spruce,V,Old0
34.2777144,44.30503431,1,spruce,V,Old0
49.37610164,54.85649317,1,spruce,V,Old0
41.3688372,38.11990157,1,spruce,V,Old0
35.34388013,29.459307,1,spruce,V,Old0
30.5634428,22.71359784,1,spruce,V,Old0
3.251207123,9.902842431,1,spruce,V,Old0
34.04615938,72.36559072,1,spruce,V,Old0
54.4686066,84.96544617,1,spruce,V,Old0
45.41229808,54.39294658,1,spruce,V,Old0
44.98328617,39.60818058,1,spruce,V,Old0
33.50587297,29.02543507,1,spruce,V,Old0
5.001041965,10.38619812,1,spruce,V,Old0
30.68988734,90.98615951,1,spruce,V,Old0
52.49016395,110.2970404,1,spruce,V,Old0
44.53176759,68.42790335,1,spruce,V,Old0
51.44186308,48.1371363,1,spruce,V,Old0
37.15013225,33.9198578,1,spruce,V,Old0
4.291356158,5.800788826,2,spruce,V,Old0
11.5252165,15.70128172,2,spruce,V,Old0
53.00198815,64.2736344,2,spruce,V,Old0
81.22197884,82.96903895,2,spruce,V,Old0
47.64744455,41.52729041,2,spruce,V,Old0
19.63628454,15.04589893,2,spruce,V,Old0
4.081245982,7.39651221,2,spruce,V,Old0
11.57758502,21.63932735,2,spruce,V,Old0
53.65712023,95.43104721,2,spruce,V,Old0
88.75680311,116.7844734,2,spruce,V,Old0
39.54384551,55.53317598,2,spruce,V,Old0
23.19714316,19.21822324,2,spruce,V,Old0
6.190831336,7.238017552,2,spruce,V,Old0
14.39139373,23.42550692,2,spruce,V,Old0
60.34198975,116.531854,2,spruce,V,Old0
108.2657546,140.0468528,2,spruce,V,Old0
46.32376339,64.26462405,2,spruce,V,Old0
28.10889469,21.7583567,2,spruce,V,Old0
3.486131463,4.048634354,3,spruce,V,Old0
9.564303364,13.15363539,3,spruce,V,Old0
47.79874915,64.17760749,3,spruce,V,Old0
74.16614963,82.53200654,3,spruce,V,Old0
44.69574873,43.87162709,3,spruce,V,Old0
14.0366802,13.07951545,3,spruce,V,Old0
17.39496299,13.32021477,3,spruce,V,Old0
2.577215926,5.463551103,3,spruce,V,Old0
9.184588291,17.134668,3,spruce,V,Old0
55.74454913,90.64323438,3,spruce,V,Old0
87.5250172,107.1652781,3,spruce,V,Old0
51.0508858,55.26452624,3,spruce,V,Old0
15.71438163,16.05122754,3,spruce,V,Old0
20.24380129,15.96478974,3,spruce,V,Old0
1.00826767,6.279289796,3,spruce,V,Old0
8.4360318,19.20799175,3,spruce,V,Old0
57.40019725,118.038128,3,spruce,V,Old0
107.5306035,135.8482001,3,spruce,V,Old0
52.8962081,68.37632228,3,spruce,V,Old0
18.18175643,19.25585286,3,spruce,V,Old0
23.7862178,18.92500338,3,spruce,V,Old0
5.290471466,5.885435698,4,spruce,V,Old0
29.34817256,40.84589053,4,spruce,V,Old0
73.78470507,95.81275067,4,spruce,V,Old0
42.34159912,49.24740694,4,spruce,V,Old0
47.82300963,49.81305589,4,spruce,V,Old0
13.51040631,12.63051921,4,spruce,V,Old0
3.326125162,6.613440904,4,spruce,V,Old0
23.67335582,52.40677362,4,spruce,V,Old0
87.47981623,130.2496951,4,spruce,V,Old0
48.6543047,64.73087231,4,spruce,V,Old0
57.94304209,62.19406211,4,spruce,V,Old0
16.58797465,15.31495519,4,spruce,V,Old0
2.661636588,6.352883602,4,spruce,V,Old0
24.93166975,57.07189825,4,spruce,V,Old0
103.9445366,155.6270286,4,spruce,V,Old0
60.45052561,75.99930482,4,spruce,V,Old0
79.53159974,70.270399,4,spruce,V,Old0
21.43847575,16.92279957,4,spruce,V,Old0
1.197136938,1.083690136,5,spruce,V,Old0
8.385183957,8.07351301,5,spruce,V,Old0
28.42040199,28.00888591,5,spruce,V,Old0
117.9256576,109.7983279,5,spruce,V,Old0
152.0475158,125.9757437,5,spruce,V,Old0
174.3232452,131.4751922,5,spruce,V,Old0
54.8461318,38.15276255,5,spruce,V,Old0
15.02473675,9.227247061,5,spruce,V,Old0
1.015517153,1.230345623,5,spruce,V,Old0
4.747451922,7.43841247,5,spruce,V,Old0
15.64951415,28.22701602,5,spruce,V,Old0
114.567471,120.15288,5,spruce,V,Old0
166.5337777,136.4905063,5,spruce,V,Old0
171.7274928,139.7208275,5,spruce,V,Old0
61.63614989,39.94771789,5,spruce,V,Old0
16.69089868,9.218135729,5,spruce,V,Old0
1.137508628,1.418896442,5,spruce,V,Old0
4.744472406,6.872805147,5,spruce,V,Old0
11.9588222,27.89077095,5,spruce,V,Old0
53.4966804,132.5616608,5,spruce,V,Old0
129.0648653,149.089309,5,spruce,V,Old0
149.3931343,149.649494,5,spruce,V,Old0
29.21715581,42.14535211,5,spruce,V,Old0
17.72770725,9.330672119,5,spruce,V,Old0
1.250866303,1.617309505,6,spruce,V,Old0
4.73869879,6.203918106,6,spruce,V,Old0
10.90633288,14.53834486,6,spruce,V,Old0
30.46906614,36.49478128,6,spruce,V,Old0
82.08657225,84.28254486,6,spruce,V,Old0
105.5207661,94.13316778,6,spruce,V,Old0
63.82480191,50.55062567,6,spruce,V,Old0
49.18772492,33.40623339,6,spruce,V,Old0
25.81240554,15.9475033,6,spruce,V,Old0
15.37059871,7.950850631,6,spruce,V,Old0
1.432389524,1.866011548,6,spruce,V,Old0
4.668578207,6.715529997,6,spruce,V,Old0
11.8508448,16.58167687,6,spruce,V,Old0
29.91328641,42.35425897,6,spruce,V,Old0
79.08448002,97.47015745,6,spruce,V,Old0
100.5605935,107.1930602,6,spruce,V,Old0
66.53192288,56.56698165,6,spruce,V,Old0
30.77822575,36.95374633,6,spruce,V,Old0
26.67276111,17.47014499,6,spruce,V,Old0
16.20592006,8.720761658,6,spruce,V,Old0
2.18906361,2.128054751,6,spruce,V,Old0
6.238442755,6.774506451,6,spruce,V,Old0
14.19590878,18.68863354,6,spruce,V,Old0
29.02128779,50.300177,6,spruce,V,Old0
84.357915,116.3130011,6,spruce,V,Old0
106.5579817,125.4332418,6,spruce,V,Old0
58.05801961,64.62482418,6,spruce,V,Old0
22.02089342,41.46639035,6,spruce,V,Old0
14.85119267,19.28142586,6,spruce,V,Old0
18.2156398,9.652844931,6,spruce,V,Old0
1.860016287,3.025279045,7,spruce,V,Old0
4.534524504,7.810183862,7,spruce,V,Old0
13.61222969,21.49083099,7,spruce,V,Old0
30.73921596,39.01467471,7,spruce,V,Old0
73.23137936,77.60183304,7,spruce,V,Old0
85.76518298,77.72141263,7,spruce,V,Old0
20.13918519,15.99477635,7,spruce,V,Old0
36.81712235,25.70825472,7,spruce,V,Old0
14.36677956,7.283102665,7,spruce,V,Old0
2.553300352,3.633629539,7,spruce,V,Old0
5.636435979,9.20524321,7,spruce,V,Old0
12.26727164,26.31505712,7,spruce,V,Old0
32.30824057,47.48596974,7,spruce,V,Old0
74.55446359,92.5948388,7,spruce,V,Old0
91.54974846,91.15914354,7,spruce,V,Old0
13.88618824,18.44007676,7,spruce,V,Old0
38.17609039,28.84253985,7,spruce,V,Old0
14.72985599,8.117662646,7,spruce,V,Old0
4.78105235,4.242943044,7,spruce,V,Old0
9.457822958,10.63522658,7,spruce,V,Old0
15.75479294,34.01574749,7,spruce,V,Old0
32.11718711,62.18069136,7,spruce,V,Old0
67.57700787,118.9975824,7,spruce,V,Old0
85.42234674,114.541699,7,spruce,V,Old0
15.68036921,22.58898564,7,spruce,V,Old0
42.67995114,34.26990936,7,spruce,V,Old0
2.298583137,5.974473221,8,spruce,V,Old0
11.14766851,23.47264246,8,spruce,V,Old0
27.82430622,40.7393762,8,spruce,V,Old0
35.02091867,43.74436533,8,spruce,V,Old0
28.29734215,28.15731586,8,spruce,V,Old0
5.085628716,3.785884474,8,spruce,V,Old0
19.65259162,14.74839097,8,spruce,V,Old0
37.58324161,25.09869562,8,spruce,V,Old0
12.81734178,7.862806757,8,spruce,V,Old0
13.99192357,7.31632846,8,spruce,V,Old0
34.88712049,14.5910846,8,spruce,V,Old0
2.925261803,8.308747189,8,spruce,V,Old0
10.47091774,32.11731324,8,spruce,V,Old0
22.78092564,52.53430627,8,spruce,V,Old0
29.80909908,54.5094169,8,spruce,V,Old0
14.79607875,33.76308073,8,spruce,V,Old0
14.40162642,16.64190964,8,spruce,V,Old0
18.83956141,27.69998791,8,spruce,V,Old0
14.74912334,8.104727326,8,spruce,V,Old0
4.927454197,11.42851591,8,spruce,V,Old0
9.600802342,46.95578161,8,spruce,V,Old0
16.52108525,76.9305419,8,spruce,V,Old0
24.73601566,77.14060805,8,spruce,V,Old0
13.90780261,45.34693628,8,spruce,V,Old0
9.002682737,20.45439481,8,spruce,V,Old0
20.07813845,32.88257167,8,spruce,V,Old0
16.95462129,9.651648124,8,spruce,V,Old0
5.579740359,16.5457794,9,spruce,V,Old0
13.28469559,28.3153362,9,spruce,V,Old0
25.20120527,37.99060866,9,spruce,V,Old0
37.98929423,42.65964013,9,spruce,V,Old0
31.9536471,30.6214953,9,spruce,V,Old0
41.88106895,33.84669007,9,spruce,V,Old0
9.041748477,7.283166807,9,spruce,V,Old0
21.13784898,14.10682253,9,spruce,V,Old0
11.7800597,6.411358269,9,spruce,V,Old0
16.85538401,8.928537088,9,spruce,V,Old0
7.183541828,21.29766538,9,spruce,V,Old0
13.60743853,37.67626953,9,spruce,V,Old0
24.41632004,49.19262745,9,spruce,V,Old0
35.25726927,53.22047704,9,spruce,V,Old0
27.44182522,36.75430483,9,spruce,V,Old0
39.15587207,39.50968845,9,spruce,V,Old0
11.80809557,7.22673367,9,spruce,V,Old0
17.03083225,9.687740629,9,spruce,V,Old0
10.71034705,26.5695641,9,spruce,V,Old0
16.80843181,53.37248658,9,spruce,V,Old0
25.20900368,70.0391647,9,spruce,V,Old0
35.99914688,73.75422938,9,spruce,V,Old0
