"","Sites","Lat","Long","rootdepth"
"1","BE-Bra",51.3092,4.5206,0.5
"2","BE-Vie",50.3051,5.9981,0.6
"3","CH-Dav",46.8153,9.8559,0.9
"4","CH-Lae",47.4781,8.365,0.8
"5","DK-Sor",55.4859,11.6446,0.6
"6","FI-Hyy",61.8464,24.2959,0.5
"7","FI-Let",60.6418,23.9597,0.6
"8","FI-Var",67.7667,29.5833,0.5
"9","FR-Bil",44.4944,-0.9561,1.2
"10","FR-Hes",48.6742,7.0656,0.7
"11","IT-Cp2",41.7043,12.3573,1.1
"12","IT-SR2",43.732,10.291,1.2
"13","SE-Htm",56.0976,13.419,0.7
"14","SE-Nor",60.0833,17.4833,0.6
"15","SE-Ros",64.1725,19.738,0.5
"16","SE-Svb",64.2561,19.7745,0.5
