"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.210963079220948,-6.69800137542698e-06,0.00419504262947328,0.202799127443661,0.21916917361437
"X2",0.308270427912638,-9.66517572803527e-06,0.00387175611432116,0.300683510137667,0.315865849281134
"X3",0.00094393254077031,-7.19136635331122e-06,0.00446954652273718,-0.00771739732866859,0.00972189423332325
"X4",0.0745687877061763,-3.95085152662955e-06,0.00443240233195648,0.065831499577281,0.0831946993685851
"X5",0.148176582035177,-1.95584475774502e-05,0.00437275582197476,0.139613586636355,0.156769449734854
"X6",0.173935476692697,-2.15720639397954e-05,0.0042688434935517,0.165641852147168,0.182390083403988
"X7",0.0310488907377748,-4.3570654901029e-06,0.00445793007816329,0.0221912995990831,0.0397490550442142
"X8",0.0285244005901482,-1.27316229582668e-05,0.00447157182178487,0.0197405642207392,0.0372918068234583
"X9",-0.00144961770747893,-5.75699774315046e-06,0.00447280785476707,-0.01015886942453,0.00729285207099428
"X10",-0.00144015511479432,-4.81183709535697e-06,0.0044709343410862,-0.0101315300421435,0.00730169810814207
"X11",-0.00141809694186429,-4.08654757342707e-06,0.00447255685631026,-0.010140345938864,0.00729965451693631
"X12",-0.0011026516023171,-4.63850276532043e-06,0.0044731075982198,-0.0098159812905217,0.00765722752020696
"X13",0.000235462702951616,-5.35232320821499e-06,0.00447248895775581,-0.00848772156661935,0.00898504760287615
"X14",-0.00182309109312883,-5.66648500343551e-06,0.00447183178413293,-0.0105242135661175,0.00692704430778471
"X15",-0.00181735515445343,-5.6426503953458e-06,0.00447190228207669,-0.0105124922223198,0.00692856353543275
"X16",-0.00148469927405473,-5.74647850432454e-06,0.00447259457600298,-0.0101745206168821,0.00728091770109886
"X17",-0.00155486981027769,-5.89021028654635e-06,0.00447216917490319,-0.0102781216206222,0.00719269983156952
