"","original","bias","std. error","min. c.i.","max. c.i."
"X1",0.211107581301814,7.14387801101224e-06,0.00154604371246741,0.208056187430689,0.214081100999636
"X2",0.311946444974379,2.97312214903034e-05,0.00220040793744449,0.30756095321635,0.316199147264429
"X3",0.0030664622064781,4.18742000998697e-07,2.64881252410079e-05,0.00301366438770953,0.00311756645675132
"X4",0.0784499077326722,8.8683245305643e-06,0.000613166935625803,0.0772292931118648,0.0796461891310809
"X5",0.149747287779174,8.23650483089411e-06,0.00112871482421808,0.147522232299189,0.151950650507339
"X6",0.177397439387182,1.73185295412603e-05,0.00132583391748429,0.174740229214552,0.179979040415245
"X7",0.0319970448946127,2.47660070919892e-06,0.000257215092799156,0.0314874949053975,0.03249595328668
"X8",0.0322599352151067,5.63762615250762e-07,0.000281749262079843,0.031698629997494,0.032818309158935
"X9",0.000258939961741644,5.11253330767519e-08,2.62290663587558e-06,0.000253729063418172,0.000263978019340619
"X10",0.000269082973521351,4.33161480961185e-08,2.8041469651023e-06,0.000263463926136353,0.000274457789859239
"X11",0.000501127476513985,4.79098041159236e-08,4.88413623880001e-06,0.000491530121790203,0.000510692538615533
"X12",0.000942010941092808,1.15379886618007e-07,9.69354488948173e-06,0.0009228260908474,0.000960619285082762
"X13",0.00185987998677528,1.85022584529284e-07,1.83035999990382e-05,0.00182369932478212,0.00189547251660852
"X14",5.51437149176603e-06,4.1290590832059e-10,6.33903397461367e-08,5.38983641152863e-06,5.63656027104042e-06
"X15",8.30364369819314e-07,3.39709185226165e-11,8.50378538588274e-09,8.13619406974036e-07,8.46952385986406e-07
"X16",0.00042780309978907,2.68907273134975e-08,4.52413628035679e-06,0.000418869217278104,0.000436599834045989
"X17",0.00025446184332556,2.58637586141269e-08,2.49154608164889e-06,0.000249470653487303,0.000259274632736517
